X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,snippet,address,layer,path,icon_url
-121.89109408408,37.4102823599611,Milpitas,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-121.87469384313,37.3684782891037,Berryessa/North San Jose,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.413936415216,37.7793938607629,Civic Center/UN Plaza,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.02906202247,37.9738249858712,Concord,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.46622315595,37.6846216074975,Colma,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.298948407196,37.9026352265033,El Cerrito Plaza,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.468911907166,37.7063332133776,Daly City,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.024552314249,38.0033245167978,North Concord/Martinez,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-121.976626395132,37.5574744273506,Fremont,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.433790088383,37.7331123945196,Glen Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.086959953277,37.6696973835548,Hayward,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.316915121435,37.9251924167276,El Cerrito del Norte,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.196859213402,37.7536887473549,Coliseum,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.268158819589,37.870316112485,Downtown Berkeley,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.126459629389,37.6969162033546,Bay Fair,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.447587357492,37.7213505880275,Balboa Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.416266663064,37.6377037426826,San Bruno,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
-122.057197308517,37.6343505701438,South Hayward,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""mar",,,,clampToGround,"-1","0","-1",,,,,BART Station,/vsizip/C:/Users/austi/Desktop/BART_System_2020.kmz_.zip/BART_System_2020.kmz|layername=BART Station|geometrytype=Point25D,./0.png
